ID,Modello,Difficoltà,Numero tessere,Dimensione scacchiera,Tempo esecuzione (s),Totale tessere,Tessere inserite,Tessere non inserite,solver,batch,Modello_Solver
4,domino_orientamento,easy,4,2,0.1167271137237548,4,0,4,Gecode,2,domino_orientamento_Gecode
4,domino_posizione,easy,4,2,0.1236250400543212,4,0,4,Gecode,2,domino_posizione_Gecode
4,domino_base,easy,4,2,0.1066508293151855,4,0,4,Gecode,2,domino_base_Gecode
4,domino_inserite,easy,4,2,0.1182966232299804,4,0,4,Gecode,2,domino_inserite_Gecode
5,domino_orientamento,medium,9,10,0.3307859897613525,9,9,0,Gecode,2,domino_orientamento_Gecode
5,domino_posizione,medium,9,10,300.12463665008545,9,6,3,Gecode,2,domino_posizione_Gecode
5,domino_base,medium,9,10,4.181812763214111,9,9,0,Gecode,2,domino_base_Gecode
5,domino_inserite,medium,9,10,0.492783784866333,9,9,0,Gecode,2,domino_inserite_Gecode
6,domino_orientamento,medium,7,6,0.7360084056854248,7,7,0,Gecode,2,domino_orientamento_Gecode
6,domino_posizione,medium,7,6,291.36497712135315,7,7,0,Gecode,2,domino_posizione_Gecode
6,domino_base,medium,7,6,1.734331130981445,7,7,0,Gecode,2,domino_base_Gecode
6,domino_inserite,medium,7,6,2.6076905727386475,7,7,0,Gecode,2,domino_inserite_Gecode
7,domino_orientamento,medium,6,9,0.1654520034790039,6,6,0,Gecode,2,domino_orientamento_Gecode
7,domino_posizione,medium,6,9,0.6147921085357666,6,6,0,Gecode,2,domino_posizione_Gecode
7,domino_base,medium,6,9,0.1652314662933349,6,6,0,Gecode,2,domino_base_Gecode
7,domino_inserite,medium,6,9,0.1729252338409423,6,6,0,Gecode,2,domino_inserite_Gecode
8,domino_orientamento,medium,6,10,0.1593542098999023,6,6,0,Gecode,2,domino_orientamento_Gecode
8,domino_posizione,medium,6,10,1.175267219543457,6,6,0,Gecode,2,domino_posizione_Gecode
8,domino_base,medium,6,10,0.1608402729034423,6,6,0,Gecode,2,domino_base_Gecode
8,domino_inserite,medium,6,10,0.1608221530914306,6,6,0,Gecode,2,domino_inserite_Gecode
9,domino_orientamento,hard,19,12,300.45521330833435,19,7,12,Gecode,2,domino_orientamento_Gecode
9,domino_posizione,hard,19,12,300.4656155109405,19,6,13,Gecode,2,domino_posizione_Gecode
9,domino_base,hard,19,12,300.4557201862335,19,7,12,Gecode,2,domino_base_Gecode
9,domino_inserite,hard,19,12,300.4668011665344,19,11,8,Gecode,2,domino_inserite_Gecode
10,domino_orientamento,hard,12,11,0.8113112449645996,12,12,0,Gecode,2,domino_orientamento_Gecode
10,domino_posizione,hard,12,11,300.20531463623047,12,6,6,Gecode,2,domino_posizione_Gecode
10,domino_base,hard,12,11,3.128807783126831,12,12,0,Gecode,2,domino_base_Gecode
10,domino_inserite,hard,12,11,262.86413073539734,12,12,0,Gecode,2,domino_inserite_Gecode
1,domino_base,easy,5,2,0.1535816192626953,5,0,5,chuffed,2,domino_base_chuffed
2,domino_base,easy,3,4,0.1044027805328369,3,3,0,chuffed,2,domino_base_chuffed
3,domino_base,easy,3,4,0.1061031818389892,3,3,0,chuffed,2,domino_base_chuffed
4,domino_base,easy,4,2,0.1242244243621826,4,0,4,chuffed,2,domino_base_chuffed
5,domino_base,medium,9,10,0.4037630558013916,9,9,0,chuffed,2,domino_base_chuffed
6,domino_base,medium,7,6,0.4012084007263183,7,7,0,chuffed,2,domino_base_chuffed
7,domino_base,medium,6,9,0.1991438865661621,6,6,0,chuffed,2,domino_base_chuffed
8,domino_base,medium,6,10,0.1817374229431152,6,6,0,chuffed,2,domino_base_chuffed
9,domino_base,hard,19,12,300.6231029033661,19,0,19,chuffed,2,domino_base_chuffed
10,domino_base,hard,12,11,1.139960527420044,12,12,0,chuffed,2,domino_base_chuffed
1,domino_orientamento,easy,6,3,1.2031114101409912,6,2,4,Gecode,3,domino_orientamento_Gecode
1,domino_posizione,easy,6,3,2.720583438873291,6,2,4,Gecode,3,domino_posizione_Gecode
1,domino_base,easy,6,3,1.2831361293792725,6,2,4,Gecode,3,domino_base_Gecode
1,domino_inserite,easy,6,3,0.8918869495391846,6,2,4,Gecode,3,domino_inserite_Gecode
2,domino_orientamento,easy,2,4,0.0936803817749023,2,2,0,Gecode,3,domino_orientamento_Gecode
